35700190046000100033-LL1	MADLL1			Calle de Andrés Mellado	MADRID	28015	ES				SameDay Drop off	40.4323064,-3.7147146				28004			1
35700194274700100039-LL1	MADLL1			Plaza de Alonso Martínez	MADRID	28004	ES				SameDay Drop off	40.4274225781547,-3.69519810109843				28004			1
35700195670200100033-LL1	MADLL1			Calle San Epifanio	MADRID	28005	ES				SameDay Drop off	40.4013171,-3.7187451				28004			1
35700196531000100038-LL1	MADLL1			Paseo de las Acacias	MADRID	28005	ES				SameDay Drop off	40.4045841,-3.7051598				28004			1
35700196600700100034-LL1	MADLL1			Calle de Santa Ana	MADRID	28005	ES				SameDay Drop off	40.4098776,-3.7081133				28004			1
35700199621400100039-LL1	MADLL1			Calle del General Castaños	MADRID	28004	ES				SameDay Drop off	40.4255359,-3.6939817				28004			1
35700199948300100038-LL1	MADLL1			Calle de Emilio Carrere	MADRID	28015	ES				SameDay Drop off	40.4312853,-3.7099724				28004			1
35700201538000100038-LL1	MADLL1			Calle de Rodríguez San Pedro	MADRID	28015	ES				SameDay Drop off	40.4313875,-3.708034				28004			1
35700201626600100036-LL1	MADLL1			Paseo del Doctor Vallejo-Nájera	MADRID	28005	ES				SameDay Drop off	40.4030574592634,-3.71214512805378				28004			1
35700201822800100030-LL1	MADLL1			Calle de Guzmán el Bueno	MADRID	28015	ES				SameDay Drop off	40.4326984,-3.7136441				28004			1
35700202190700100030-LL1	MADLL1			Calle de Vallehermoso	MADRID	28015	ES				SameDay Drop off	40.4304841,-3.7091093				28004			1
35700202526000100034-LL1	MADLL1			Calle Gasómetro	MADRID	28005	ES				SameDay Drop off	40.4038000108692,-3.70815002532123				28004			1
35700202872500100037-LL1	MADLL1			Paseo de Juan Antonio Vallejo-Nájera Botas	MADRID	28005	ES				SameDay Drop off	40.4041303,-3.7149358				28004			1
35700203065500100032-LL1	MADLL1			Calle de Magallanes	MADRID	28015	ES				SameDay Drop off	40.4323162,-3.705715				28004			1
35700203170100100037-LL1	MADLL1			Glorieta de Ruiz Jiménez	MADRID	28015	ES				SameDay Drop off	40.4292055,-3.7054174				28004			1
35700203356700100039-LL1	MADLL1			Calle de Gil Imón	MADRID	28005	ES				SameDay Drop off	40.4072836,-3.7166704				28004			1
35700204278500100035-LL1	MADLL1			Calle de Fuencarral	MADRID	28004	ES				SameDay Drop off	40.4280696,-3.7021126				28004			1
35700204718600100035-LL1	MADLL1			Calle San Epifanio	MADRID	28005	ES				SameDay Drop off	40.4013171,-3.7187451				28004			1
35700205413600200035-LL1	MADLL1			Calle de Carlos Arniches	MADRID	28005	ES				SameDay Drop off	40.4080807,-3.7083511				28004			1
